,datetime,order_type,close1_ema33,rsi14,sto533,pos_bb20,sd_pos,profit_in_points,target
57,2016.02.03 17:30:00,1,0.00134367,58.5527,67.2868,1.57707,0.969909,1445,1
58,2016.02.04 14:00:00,0,0.000966704,50.8219,30.2158,-1.63175,-0.932236,-520,0
59,2016.02.04 15:30:00,1,0.0056761,68.9817,65.4494,2.96084,-0.543597,654,1
60,2016.02.05 10:00:00,0,0.000726732,50.4195,13.6929,-1.48526,-1.28938,-29,0
61,2016.02.05 19:00:00,1,0.000410854,51.2844,67.7138,0.257354,-2.03121,-357,0
62,2016.02.05 21:00:00,0,-0.00309964,35.1878,34.2704,-3.7408,2.79529,10,1
63,2016.02.08 15:30:00,1,0.00121274,59.502,72.2135,2.88296,-0.781962,-372,0
64,2016.02.08 19:00:00,0,-0.00268953,40.2177,14.1392,-1.22634,2.16877,-554,0
65,2016.02.08 23:30:00,1,0.00362388,62.0379,86.0179,1.41072,1.29488,89,1
66,2016.02.09 14:30:00,0,-0.000550132,45.567,17.5824,-1.61617,-0.811977,-349,0
67,2016.02.09 18:30:00,1,0.00278427,60.3622,92.3338,1.25805,1.42152,677,1
68,2016.02.10 14:00:00,0,0.000517833,50.6499,58.7413,-1.06846,-0.954203,239,1
69,2016.02.11 02:30:00,1,0.00119874,54.846,92.7995,0.946009,0.635685,616,1
70,2016.02.12 04:00:00,0,0.000234752,49.514,30.5601,-0.787461,-1.54069,1494,1
71,2016.02.16 07:00:00,1,0.000399217,57.3127,84.8243,2.43067,-1.88143,-254,0
72,2016.02.16 11:00:00,0,-0.00190915,37.7022,8.35509,-1.04755,-0.84719,-203,0
73,2016.02.16 16:00:00,1,0.000653692,56.3845,65.4206,0.929951,-0.605269,-257,0
74,2016.02.16 22:00:00,0,-0.00207764,40.5451,53.0134,-1.83423,1.83802,-25,0
75,2016.02.17 10:30:00,1,0.000230531,52.5382,86.7532,1.58314,-1.195,-178,0
76,2016.02.17 17:00:00,0,-0.00227684,36.7106,5.56586,-1.54634,1.2989,-152,0
77,2016.02.18 01:00:00,1,0.000419717,53.3792,90.3955,0.684599,-1.87882,-207,0
78,2016.02.18 02:30:00,0,-0.00155399,41.5479,32.8645,-0.990461,-2.14462,-169,0
79,2016.02.18 03:30:00,1,0.000121585,51.324,42.5419,0.712651,-1.62869,-113,0
80,2016.02.18 04:00:00,0,-0.000958508,45.3975,47.9058,-0.521025,-1.43816,-120,0
81,2016.02.18 09:30:00,1,0.000759488,56.2459,75.9232,1.17455,-0.816886,-87,0
82,2016.02.18 16:00:00,0,-0.000286075,47.9268,30.4054,-0.230161,-0.731777,-38,0
83,2016.02.18 17:00:00,1,5.99E-05,50.6561,48.9569,0.0283848,-3.04969,-107,0
84,2016.02.18 17:30:00,0,-0.000903579,43.1173,44.5313,-1.99817,-2.55268,172,1
85,2016.02.19 02:00:00,1,-0.000205769,50.2983,80.4802,0.362964,0.25337,-129,0
86,2016.02.19 03:00:00,0,-0.00130892,45.0856,40.9897,-0.144019,-0.533664,-81,0
